Country,TotalRevenue,TotalOrders,TotalCustomers,TotalQuantity,AverageRevenuePerCustomer
United Kingdom,14389234.917,33541,5350,8532411,2689.58
EIRE,616570.54,567,5,318021,123314.11
Netherlands,554038.09,228,22,383879,25183.55
Germany,425019.711,789,107,225154,3972.15
France,348768.96,614,95,270288,3671.25
Australia,169283.46,95,15,103759,11285.56
Spain,108332.49,154,41,50307,2642.26
Switzerland,100061.94,90,22,52227,4548.27
Sweden,91515.82,104,19,88495,4816.62
Denmark,68580.69,43,12,237471,5715.06
Belgium,65387.82,149,29,34768,2254.75
Norway,56322.5,45,13,23621,4332.5
Portugal,55554.78,93,24,27423,2314.78
Channel Islands,44623.33,55,13,21396,3432.56
Japan,43023.91,33,10,31643,4302.39
Italy,32108.170000000002,65,17,15312,1888.72
Finland,29925.54,57,14,14375,2137.54
Singapore,25317.06,11,1,6994,25317.06
Cyprus,24849.95,37,11,10950,2259.09
Austria,23613.010000000002,45,13,11578,1816.39
Greece,19096.19,18,5,7724,3819.24
Poland,10654.29,28,6,5688,1775.72
Israel,10415.24,7,4,5175,2603.81
United Arab Emirates,9202.69,11,4,5839,2300.67
Unspecified,8607.35,16,6,5113,1434.56
USA,8366.86,20,9,5264,929.65
Malta,8099.09,9,2,2519,4049.54
Iceland,4921.53,8,1,2967,4921.53
Lithuania,4892.68,6,1,2306,4892.68
Canada,4883.04,8,5,3657,976.61
Thailand,3070.54,2,1,2552,3070.54
RSA,1933.74,2,2,942,966.87
Lebanon,1693.88,1,1,386,1693.88
Brazil,1411.8700000000001,2,2,545,705.94
Bahrain,1354.3700000000001,4,2,755,677.18
European Community,1300.25,4,1,499,1300.25
Korea,1118.51,2,2,700,559.26
Czech Republic,826.74,2,1,671,826.74
West Indies,536.41,1,1,395,536.41
Saudi Arabia,145.92000000000002,1,1,80,145.92
Nigeria,140.39,2,1,103,140.39
