StockCode,Description,TotalQuantity,TotalRevenue,TotalOrders,AveragePrice,ABC_Class,MovementCategory
22423,REGENCY CAKESTAND 3 TIER,24124,277656.25,3317,12.461649175412294,A,Fast Moving
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91757,247048.01,4888,2.870665869218501,A,Fast Moving
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,2.08,A,Fast Moving
M,Manual,9384,151777.67,620,214.78588839941264,A,Fast Moving
85099B,JUMBO BAG RED RETROSPOT,74224,134307.44,2612,1.9738697463082164,A,Fast Moving
POST,POSTAGE,5235,124648.04,1803,29.938874098724348,A,Fast Moving
84879,ASSORTED COLOUR BIRD ORNAMENT,78234,124351.86,2652,1.676151560178306,A,Fast Moving
47566,PARTY BUNTING,23460,103283.38,2077,4.77291229742612,A,Fast Moving
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,195,1.2203030303030302,A,Fast Moving
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,28380,76598.18000000001,1691,2.9196085204375364,A,Fast Moving
79321,CHILLI LIGHTS,14843,69084.3,922,5.146038961038961,A,Fast Moving
85099F,JUMBO BAG STRAWBERRY,35842,64127.77,1514,1.9569180327868851,A,Fast Moving
21137,BLACK RECORD COVER FRAME,18417,63092.12,539,3.6303696857670977,A,Fast Moving
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,28606,55880.17,525,2.5669636363636363,A,Fast Moving
82484,WOOD BLACK BOARD ANT WHITE FINISH,9678,54525.36,1048,6.962461832061068,A,Fast Moving
21621,VINTAGE UNION JACK BUNTING,6497,54432.62,1121,8.499444933920705,A,Fast Moving
15056N,EDWARDIAN PARASOL NATURAL,10948,54332.61,863,5.787598152424943,A,Fast Moving
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28899,52188.18,1449,1.95754781420765,A,Fast Moving
23084,RABBIT NIGHT LIGHT,27153,51251.24,801,2.0127703523693805,A,Fast Moving
22470,HEART OF WICKER LARGE,17104,49859.5,1743,2.944598990465508,A,Fast Moving
21733,RED HANGING HEART T-LIGHT HOLDER,17228,48850.6,1631,2.915765060240964,A,Fast Moving
21931,JUMBO STORAGE BAG SUKI,25970,47760.99,1714,1.9728645833333331,A,Fast Moving
22189,CREAM HEART CARD HOLDER,15946,47414.2,1129,3.878165784832452,A,Fast Moving
15056BL,EDWARDIAN PARASOL BLACK,9351,45885.07,788,5.794080100125157,A,Fast Moving
22178,VICTORIAN GLASS HANGING T-LIGHT,37285,45746.75,1442,1.3451874573960465,A,Fast Moving
22112,CHOCOLATE HOT WATER BOTTLE,9904,45601.34,1447,4.878344733242134,A,Fast Moving
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,24295,45059.13,1680,1.980715552927262,A,Fast Moving
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,16469,44998.27,1233,2.9220930232558144,A,Fast Moving
21623,VINTAGE UNION JACK MEMOBOARD,6125,44785.83,499,9.774549098196394,A,Fast Moving
21181,PLEASE ONE PERSON METAL SIGN,22379,44310.600000000006,1399,2.073053003533569,A,Fast Moving
22386,JUMBO BAG PINK POLKADOT,23572,43319.16,1055,2.0029119850187267,A,Fast Moving
22469,HEART OF WICKER SMALL,26193,43316.54,1779,1.6381823174080177,A,Fast Moving
21929,JUMBO BAG PINK VINTAGE PAISLEY,24108,43313.9,1228,1.9750485436893204,A,Fast Moving
22138,BAKING SET 9 PIECE RETROSPOT ,9035,43070.91,1742,4.9517741015402175,A,Fast Moving
