StockCode,Description,TotalQuantity,TotalRevenue,TotalOrders,AveragePrice
22423,REGENCY CAKESTAND 3 TIER,24124,277656.25,3317,12.461649175412294
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91757,247048.01,4888,2.870665869218501
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,2.08
M,Manual,9384,151777.67,620,214.78588839941264
85099B,JUMBO BAG RED RETROSPOT,74224,134307.44,2612,1.9738697463082164
POST,POSTAGE,5235,124648.04,1803,29.938874098724348
84879,ASSORTED COLOUR BIRD ORNAMENT,78234,124351.86,2652,1.676151560178306
47566,PARTY BUNTING,23460,103283.38,2077,4.77291229742612
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,195,1.2203030303030302
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,28380,76598.18000000001,1691,2.9196085204375364
79321,CHILLI LIGHTS,14843,69084.3,922,5.146038961038961
85099F,JUMBO BAG STRAWBERRY,35842,64127.77,1514,1.9569180327868851
21137,BLACK RECORD COVER FRAME,18417,63092.12,539,3.6303696857670977
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,28606,55880.17,525,2.5669636363636363
82484,WOOD BLACK BOARD ANT WHITE FINISH,9678,54525.36,1048,6.962461832061068
21621,VINTAGE UNION JACK BUNTING,6497,54432.62,1121,8.499444933920705
15056N,EDWARDIAN PARASOL NATURAL,10948,54332.61,863,5.787598152424943
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28899,52188.18,1449,1.95754781420765
23084,RABBIT NIGHT LIGHT,27153,51251.24,801,2.0127703523693805
22470,HEART OF WICKER LARGE,17104,49859.5,1743,2.944598990465508
21733,RED HANGING HEART T-LIGHT HOLDER,17228,48850.6,1631,2.915765060240964
21931,JUMBO STORAGE BAG SUKI,25970,47760.99,1714,1.9728645833333331
22189,CREAM HEART CARD HOLDER,15946,47414.2,1129,3.878165784832452
15056BL,EDWARDIAN PARASOL BLACK,9351,45885.07,788,5.794080100125157
22178,VICTORIAN GLASS HANGING T-LIGHT,37285,45746.75,1442,1.3451874573960465
22112,CHOCOLATE HOT WATER BOTTLE,9904,45601.34,1447,4.878344733242134
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,24295,45059.13,1680,1.980715552927262
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,16469,44998.27,1233,2.9220930232558144
21623,VINTAGE UNION JACK MEMOBOARD,6125,44785.83,499,9.774549098196394
21181,PLEASE ONE PERSON METAL SIGN,22379,44310.600000000006,1399,2.073053003533569
22386,JUMBO BAG PINK POLKADOT,23572,43319.16,1055,2.0029119850187267
22469,HEART OF WICKER SMALL,26193,43316.54,1779,1.6381823174080177
21929,JUMBO BAG PINK VINTAGE PAISLEY,24108,43313.9,1228,1.9750485436893204
22138,BAKING SET 9 PIECE RETROSPOT ,9035,43070.91,1742,4.9517741015402175
21843,RED RETROSPOT CAKE STAND,4298,42862.74,984,10.869421319796954
22111,SCOTTIE DOG HOT WATER BOTTLE,9092,42463.2,1457,4.893550577053632
21754,HOME BUILDING BLOCK WORD,7231,42453.11,1831,5.963963282937365
21731,RED TOADSTOOL LED NIGHT LIGHT,27102,41824.26,1043,1.6490377358490569
21175,GIN + TONIC DIET METAL SIGN,19755,40940.78,1385,2.259413027916965
22457,NATURAL SLATE HEART CHALKBOARD ,14187,40276.170000000006,1637,2.9584354154032746
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,14630,40219.82,1144,2.9324567474048444
48138,DOORMAT UNION FLAG,6146,40053.72,874,7.668266818700114
82494L,WOODEN FRAME ANTIQUE WHITE ,14368,39909.170000000006,1773,2.8997430167597766
20727,LUNCH BAG  BLACK SKULL.,25392,39904.0,1997,1.63999511002445
21915,RED  HARMONICA IN BOX ,35229,39870.65,884,1.2519775280898875
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,13874,39822.34,644,3.192735562310031
21232,STRAWBERRY CERAMIC TRINKET BOX,33899,39682.67,1818,1.2356750941366326
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,2,649.5
21166,COOK WITH WINE METAL SIGN ,19652,37029.34,1225,1.977408906882591
82482,WOODEN PICTURE FRAME WHITE FINISH,15643,37011.1,1658,2.564078947368421
20728,LUNCH BAG CARS BLUE,23304,36644.28,1797,1.6495274725274724
84078A,SET/4 WHITE RETRO STORAGE CUBES ,1007,36259.65,234,38.49700854700856
22629,SPACEBOY LUNCH BOX ,20271,36150.99,1108,1.930375335120644
23284,DOORMAT KEEP CALM AND COME IN,5338,35880.85,648,7.91196319018405
23298,SPOTTY BUNTING,7633,35509.55,1003,4.917840236686391
85066,CREAM SWEETHEART MINI CHEST,2948,35264.73,809,12.656833740831296
20713,JUMBO BAG OWLS,19463,35162.42,920,1.967599569429494
48194,DOORMAT HEARTS,5788,35069.4,857,7.629965075669383
22114,HOT WATER BOTTLE TEA AND SYMPATHY,8848,34479.62,1298,4.023521772345302
22960,JAM MAKING SET WITH JARS,8454,33833.72,903,4.181095132743363
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12356,33670.240000000005,985,2.9206344410876133
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7010,33298.3,1146,4.953637152777778
20726,LUNCH BAG WOODLAND,20916,33004.76,1585,1.6512445550715618
22197,SMALL POPCORN HOLDER,42955,32505.93,1039,0.8353918791312559
22699,ROSES REGENCY TEACUP AND SAUCER ,11939,32470.65,1056,2.915397567820393
20725,LUNCH BAG RED RETROSPOT,20294,32137.5,1520,1.656367771280052
84029E,RED WOOLLY HOTTIE WHITE HEART.,9259,31876.47,956,3.784886128364389
20685,DOORMAT RED RETROSPOT,4806,31864.2,758,7.739288537549407
21755,LOVE BUILDING BLOCK WORD,5367,31590.41,1485,5.965843293492696
48187,DOORMAT NEW ENGLAND,5146,31461.34,728,7.720205479452055
22630,DOLLY GIRL LUNCH BOX,17340,30921.64,998,1.9443280632411064
22727,ALARM CLOCK BAKELIKE RED ,8512,30703.09,1144,3.7613965517241374
85152,HAND OVER THE CHOCOLATE   SIGN ,16146,30615.930000000004,1300,2.081425304878049
82486,WOOD S/3 CABINET ANT WHITE FINISH,3913,30363.75,1002,8.026528599605522
22382,LUNCH BAG SPACEBOY DESIGN ,18834,30131.7,1874,1.6465396825396823
22385,JUMBO BAG SPACEBOY DESIGN,16383,29810.15,971,1.979439918533605
21523,DOORMAT FANCY FONT HOME SWEET HOME,4825,29691.95,572,7.738181818181817
48185,DOORMAT FAIRY CAKE,4760,29116.96,420,7.754893111638955
20712,JUMBO BAG WOODLAND ANIMALS,15709,29105.5,915,1.9862594594594596
15036,ASSORTED COLOURS SILK FAN,40994,28766.32,634,0.7659527559055118
47590B,PINK HAPPY BIRTHDAY BUNTING,5652,28581.4,810,5.4121349693251535
20679,EDWARDIAN PARASOL RED,6029,28557.92,622,5.819614767255216
