ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-12-01,23366.3461134432,33638.9527660015,64561.30557942489,23366.3461134432,23366.3461134432,25945.697892237124,25945.697892237124,25945.697892237124,8263.26856421497,8263.26856421497,8263.26856421497,17682.429328022157,17682.429328022157,17682.429328022157,0.0,0.0,0.0,49312.04400568032
2009-12-02,23362.918624578782,30005.539146529733,60933.86911250904,23362.918624578782,23362.918624578782,22892.261037644686,22892.261037644686,22892.261037644686,5364.460058906355,5364.460058906355,5364.460058906355,17527.800978738334,17527.800978738334,17527.800978738334,0.0,0.0,0.0,46255.17966222347
2009-12-03,23359.491135714357,37436.25477045509,68646.1831902421,23359.491135714357,23359.491135714357,29838.081809735522,29838.081809735522,29838.081809735522,12589.557408846355,12589.557408846355,12589.557408846355,17248.524400889168,17248.524400889168,17248.524400889168,0.0,0.0,0.0,53197.57294544988
2009-12-04,23356.063646849936,28083.73740431402,59258.772997861866,23356.063646849936,23356.063646849936,20397.31556837361,20397.31556837361,20397.31556837361,3563.2497467984667,3563.2497467984667,3563.2497467984667,16834.065821575146,16834.065821575146,16834.065821575146,0.0,0.0,0.0,43753.37921522355
2009-12-05,23352.636157985515,-5399.435828156214,26238.148589745164,23352.636157985515,23352.636157985515,-13190.71387411374,-13190.71387411374,-13190.71387411374,-29467.13737935143,-29467.13737935143,-29467.13737935143,16276.423505237686,16276.423505237686,16276.423505237686,0.0,0.0,0.0,10161.922283871774
2009-12-06,23349.208669121093,17453.650994865322,49015.39227598238,23349.208669121093,23349.208669121093,9619.741176575866,9619.741176575866,9619.741176575866,-5950.7344821070865,-5950.7344821070865,-5950.7344821070865,15570.475658682952,15570.475658682952,15570.475658682952,0.0,0.0,0.0,32968.94984569696
2009-12-07,23345.78118025667,27600.389705073114,58268.21697578741,23345.78118025667,23345.78118025667,20351.59468092474,20351.59468092474,20351.59468092474,5637.336082798419,5637.336082798419,5637.336082798419,14714.258598126322,14714.258598126322,14714.258598126322,0.0,0.0,0.0,43697.37586118141
2009-12-08,23342.35369139225,29397.60208700948,60466.35830796157,23342.35369139225,23342.35369139225,21972.434170864177,21972.434170864177,21972.434170864177,8263.268564236403,8263.268564236403,8263.268564236403,13709.165606627774,13709.165606627774,13709.165606627774,0.0,0.0,0.0,45314.78786225643
2009-12-09,23338.92620252783,24944.548390377604,56575.575389572834,23338.92620252783,23338.92620252783,17924.519097441163,17924.519097441163,17924.519097441163,5364.460058922751,5364.460058922751,5364.460058922751,12560.059038518411,12560.059038518411,12560.059038518411,0.0,0.0,0.0,41263.445299969
2009-12-10,23335.498713663408,32167.247760007915,63348.920389955536,23335.498713663408,23335.498713663408,23864.84800416623,23864.84800416623,23864.84800416623,12589.557408800532,12589.557408800532,12589.557408800532,11275.290595365701,11275.290595365701,11275.290595365701,0.0,0.0,0.0,47200.34671782964
2009-12-11,23332.071224798983,21372.074115331543,52288.15011815156,23332.071224798983,23332.071224798983,13429.876986479003,13429.876986479003,13429.876986479003,3563.2497467827766,3563.2497467827766,3563.2497467827766,9866.627239696225,9866.627239696225,9866.627239696225,0.0,0.0,0.0,36761.94821127799
2009-12-13,23325.216247070144,7554.154460202658,39251.512306146506,23325.216247070144,23325.216247070144,789.9239559196418,789.9239559196418,789.9239559196418,-5950.734482089489,-5950.734482089489,-5950.734482089489,6740.658438009131,6740.658438009131,6740.658438009131,0.0,0.0,0.0,24115.140202989787
2009-12-14,23321.788758205723,18727.175077081127,49825.044467422806,23321.788758205723,23321.788758205723,10699.332285753282,10699.332285753282,10699.332285753282,5637.336082784832,5637.336082784832,5637.336082784832,5061.996202968452,5061.996202968452,5061.996202968452,0.0,0.0,0.0,34021.12104395901
2009-12-15,23318.361269341298,18664.059800190622,49198.33717235207,23318.361269341298,23318.361269341298,11599.224088753142,11599.224088753142,11599.224088753142,8263.26856424002,8263.26856424002,8263.26856424002,3335.9555245131246,3335.9555245131246,3335.9555245131246,0.0,0.0,0.0,34917.58535809444
2009-12-16,23314.933780476877,15131.59911125103,45377.59398589354,23314.933780476877,23314.933780476877,6951.5809360861385,6951.5809360861385,6951.5809360861385,5364.460058919313,5364.460058919313,5364.460058919313,1587.120877166826,1587.120877166826,1587.120877166826,0.0,0.0,0.0,30266.514716563015
2009-12-17,23311.506291612455,20512.037021449734,50952.72862060394,23311.506291612455,23311.506291612455,12430.811422191233,12430.811422191233,12430.811422191233,12589.557408790923,12589.557408790923,12589.557408790923,-158.745986599692,-158.745986599692,-158.745986599692,0.0,0.0,0.0,35742.317713803684
2009-12-18,23308.078802748038,10382.366253588247,39897.20117981661,23308.078802748038,23308.078802748038,1687.95404973415,1687.95404973415,1687.95404973415,3563.2497467670864,3563.2497467670864,3563.2497467670864,-1875.295697032936,-1875.295697032936,-1875.295697032936,0.0,0.0,0.0,24996.03285248219
2009-12-20,23301.22382501919,-2815.0314990956936,27684.027080670912,23301.22382501919,23301.22382501919,-11066.550407906894,-11066.550407906894,-11066.550407906894,-5950.734482071892,-5950.734482071892,-5950.734482071892,-5115.815925835004,-5115.815925835004,-5115.815925835004,0.0,0.0,0.0,12234.673417112297
2009-12-21,23297.79633615477,6694.735326173852,37647.92758789117,23297.79633615477,23297.79633615477,-952.3950533753145,-952.3950533753145,-952.3950533753145,5637.336082805424,5637.336082805424,5637.336082805424,-6589.731136180738,-6589.731136180738,-6589.731136180738,0.0,0.0,0.0,22345.401282779454
2009-12-22,23294.368847290352,7860.3348651005135,39347.1138666225,23294.368847290352,23294.368847290352,327.83207558593415,327.83207558593415,327.83207558593415,8263.268564224889,8263.268564224889,8263.268564224889,-7935.436488638955,-7935.436488638955,-7935.436488638955,0.0,0.0,0.0,23622.200922876287
2009-12-23,23290.941359417106,4992.827431168379,34409.959766305954,23290.941359417106,23290.941359417106,-3768.386876236252,-3768.386876236252,-3768.386876236252,5364.460058895322,5364.460058895322,5364.460058895322,-9132.846935131574,-9132.846935131574,-9132.846935131574,0.0,0.0,0.0,19522.554483180855
2010-01-04,23249.811504938207,4102.230251836363,34957.065426193854,23249.811504938207,23249.811504938207,-3850.57294714023,-3850.57294714023,-3850.57294714023,5637.33608280375,5637.33608280375,5637.33608280375,-9487.90902994398,-9487.90902994398,-9487.90902994398,0.0,0.0,0.0,19399.238557797977
2010-01-05,23246.384017064964,8093.605317694742,37895.40241225214,23246.384017064964,23246.384017064964,-321.1338437847637,-321.1338437847637,-321.1338437847637,8263.268564231186,8263.268564231186,8263.268564231186,-8584.402408015949,-8584.402408015949,-8584.402408015949,0.0,0.0,0.0,22925.2501732802
2010-01-06,23242.956529191717,4303.742474877945,36637.33695679868,23242.956529191717,23242.956529191717,-2266.1530792248996,-2266.1530792248996,-2266.1530792248996,5364.460058867892,5364.460058867892,5364.460058867892,-7630.613138092792,-7630.613138092792,-7630.613138092792,0.0,0.0,0.0,20976.803449966817
